Date,Close/Last,Volume,Open,High,Low,Day
08/03/2020,329.32,2481263,325.55,329.89,324.3,111
08/04/2020,339.79,3933264,329.56,339.82,328.92,112
08/05/2020,339.97,2927467,341.855,342.73,337.59,113
08/06/2020,343.31,2104513,342.41,345.12,341.61,114
08/07/2020,340.91,1759041,343.14,344.73,339.63,115
08/10/2020,340,1503771,340.71,341.065,338.58,116
08/11/2020,332.43,2065571,340.85,340.85,331.8,117
08/12/2020,336.76,1854172,333.745,338.9,333.17,118
08/13/2020,335.7,1536633,336.99,339.46,335.13,119
08/14/2020,336.28,1522984,336.53,338.76,335.6,120
08/17/2020,339.96,1504934,337.65,340.37,337.355,121
08/18/2020,340.75,1489444,341,342.8,336.81,122
08/19/2020,340.9,1730080,341.12,341.94,339.95,123
08/20/2020,340.87,1717482,340.14,341.66,338.74,124
08/21/2020,344.61,2372580,340.07,345.84,339.33,125
08/24/2020,344.13,1461915,345.11,346.11,342.105,126
08/25/2020,344.71,1176166,344.14,344.91,341.46,127
08/26/2020,344.27,1757268,343.01,344.83,341.69,128
08/27/2020,346.36,2221007,345.61,347.742,342.5501,129
08/28/2020,348.37,1487324,347.47,349.06,345.5,130
08/31/2020,347.66,1586941,346.85,348.75,344.29,131
09/01/2020,351.38,1774856,345.71,351.49,345.41,132
09/02/2020,358.86,2434933,353.61,359.92,351.31,133
09/03/2020,348.3,3630441,363.07,363.67,345.52,134
09/04/2020,346.57,2557093,353.98,353.98,340.4,135
09/08/2020,338.86,2144332,343.84,344.92,338.18,136
09/09/2020,346.43,2100864,340.9,349.7,340.39,137
09/10/2020,339.53,1959599,346.27,348,338.76,138
09/11/2020,339.13,1599904,340.28,343.26,336.1,139
09/14/2020,342.92,1522316,340.99,344.84,340.47,140
09/15/2020,343.91,1362499,345.02,347.76,342.75,141
09/16/2020,343.73,1657876,347.27,348.76,343.25,142
09/17/2020,338.88,2681457,339.58,342.89,336.365,143
09/18/2020,335.96,3409322,340.2,341.22,331.2,144
09/21/2020,339.57,2427359,333.971,339.62,333.71,145
09/22/2020,344.45,2128063,340.702,344.9,339.59,146
09/23/2020,344.63,3577124,348,348.25,344.06,147
09/24/2020,347,5779283,345,347.3333,338.309,148
09/25/2020,342.58,7338492,340.74,343.77,335.36,149
09/28/2020,349.62,3459192,343.76,349.77,343.1,150
09/29/2020,352.14,2526612,348.95,354.29,347.1,151
09/30/2020,355,2525800,352.56,357.7,351.1705,152
10/01/2020,358.46,2052988,356.26,359.685,354.82,153
10/02/2020,355.01,2124977,354.728,357.84,352.85,154
10/05/2020,358.58,2093540,355.33,358.98,355.33,155
10/06/2020,358.35,2760443,361.9,363,357.0394,156
10/07/2020,363.02,1959147,360.47,364.74,359.66,157
10/08/2020,365.09,1793133,364.802,365.97,361.75,158
10/09/2020,369.46,1730688,366,369.75,365.7,159
10/12/2020,376.48,2806875,371,380.66,370.77,160
10/13/2020,380.68,1823278,378.42,382.29,376.48,161
10/14/2020,378.34,1905710,382.8897,383.8715,376.7,162
10/15/2020,376.58,1699338,376.46,378.36,373.06,163
10/16/2020,381.54,2460490,380.5,384.87,379.12,164
10/19/2020,375.56,1938064,382.03,383.085,374.71,165
10/20/2020,378.31,1282650,377.69,382.08,376.12,166
10/21/2020,377.82,1466495,378.56,381.28,377.02,167
10/22/2020,375.75,1813550,377.35,378.38,372.0301,168
10/23/2020,374.6,1107978,375.61,376.52,373.56,169
10/26/2020,370.71,2144995,366.68,372.63,366.12,170
10/27/2020,372.72,1525684,368.77,374.913,368.77,171
10/28/2020,364.96,1908295,367.329,372.41,364.67,172
10/29/2020,364.86,1838468,363.23,369.09,362.51,173
10/30/2020,357.62,2724917,361.13,363.85,355.79,174
11/02/2020,364.39,1646349,362.22,365.66,360.71,175
11/03/2020,371.96,2013103,368.94,374.8,367.89,176
11/04/2020,376.17,2450234,374.02,381.635,374,177
11/05/2020,385.23,2255767,382.48,386.58,379.5,178
11/06/2020,385.66,1950329,381.88,386.8,380.89,179
11/09/2020,365,4371322,388.25,389.5,364.76,180
11/10/2020,366.62,2662644,363.88,371.535,360.59,181
11/11/2020,372.92,1688755,369.68,374.7,368.16,182
11/12/2020,375.71,1537419,376.95,378.24,373.5,183
11/13/2020,378.84,1275252,376.52,379.83,374.9905,184
11/16/2020,379.79,1691460,376.91,381.28,376.91,185
11/17/2020,381.92,3299130,387.32,388.48,381.79,186
11/18/2020,382.23,2134609,382.888,388.05,381.73,187
11/19/2020,383.54,1768904,383.61,384.71,380.31,188
11/20/2020,381.12,1809463,383.95,385.5023,381.01,189
11/23/2020,381.71,1685136,383,383.06,380.34,190
11/24/2020,384.22,2065672,383.69,386.05,380.71,191
11/25/2020,387.75,2034236,385.79,388.34,385.555,192
11/27/2020,388.39,1329425,390.46,390.67,387.75,193
11/30/2020,391.77,3733758,391.75,393.15,385.23,194
12/01/2020,387.56,2998441,384.5,388.07,381.1751,195
12/02/2020,383.5,2212845,385.47,386.88,381.57,196
12/03/2020,374.05,3976442,378,378.73,373.28,197
12/04/2020,373.43,2839727,375.21,375.31,371.89,198
12/07/2020,373.33,2652928,374.27,376.5,372.65,199
12/08/2020,377.6,2685523,373.95,379.524,370.75,200
12/09/2020,374.29,2461551,379.88,381,372.8,201
12/10/2020,372.79,2566344,374.29,375,371.56,202
12/11/2020,375.1,3483947,379.77,379.77,372.54,203
12/14/2020,374.38,2778433,376.56,378.18,373.21,204
12/15/2020,371.88,2137136,374.505,375.69,369.3,205
12/16/2020,369.44,2385081,371.16,372.84,368.845,206
12/17/2020,370.29,2314176,370.26,370.97,368,207
12/18/2020,367,4140033,371.1,371.36,365.93,208
12/21/2020,364.97,2329659,365.09,366.115,361.812,209
12/22/2020,362.03,2106626,364.1,364.76,360.61,210
12/23/2020,361.89,1782110,362.45,363.1,359.5,211
12/24/2020,364.58,972522,361.4055,365.335,361.4055,212
12/28/2020,371.06,3207654,365.5,371.69,365.0754,213
12/29/2020,372.72,2072603,372.25,373.255,370.26,214
12/30/2020,374.45,1777985,374.2,375.86,373.2828,215
12/31/2020,376.78,1628904,374.99,377.04,372.46,216
01/04/2021,380.15,3322184,377.43,381.55,374.81,217
01/05/2021,375.74,2748442,378.86,380.205,375.25,218
01/06/2021,370.02,2661436,373.82,375.8,369.648,219
01/07/2021,367.92,2849525,371.01,371.65,366.79,220
01/08/2021,369.94,2599696,368.115,370.26,364.29,221
01/11/2021,364.01,2564790,368.58,371,363.86,222
01/12/2021,364.2,2387580,364,365.07,360.25,223
01/13/2021,366.95,1968804,364.37,368.74,363,224
01/14/2021,362.35,2363869,366,366.5,361.5553,225
01/15/2021,362.16,2340396,361.06,364.905,360.8,226
01/19/2021,354.47,4533829,362.355,362.95,352.44,227
01/20/2021,361.3,2767231,354.39,361.897,353.41,228
01/21/2021,362.8,2122581,361.3,363.99,359.9401,229
01/22/2021,362.3,1960295,363.2,364.63,359.85,230
01/25/2021,361.88,2735901,360.86,361.96,356.82,231
01/26/2021,364.98,1806952,360.2,365.8995,358.88,232
01/27/2021,356.39,3120813,362.99,365.8,354.85,233
01/28/2021,357.06,2251115,356.85,361.605,356.07,234
01/29/2021,352.43,2598738,354.75,356.29,351.88,235
02/01/2021,350.52,2371160,351.21,352.79,349.21,236
02/02/2021,355.58,1905007,351.76,357.7,350.72,237
02/03/2021,355.21,1759821,356.233,357.53,353.21,238
02/04/2021,355.85,3411624,356.714,358.38,353.85,239
02/05/2021,355.17,2165628,356.55,356.845,354.1,240
02/08/2021,359.83,2520650,356.57,360.04,355.57,241
02/09/2021,359.56,2153966,360.04,361.6739,358.3,242
02/10/2021,356.12,2162400,361,361,355.12,243
02/11/2021,352.2,2088355,355.73,356.5,351.39,244
02/12/2021,352.75,2096607,351.99,352.98,350.1,245
02/16/2021,354,1829035,353.0788,355.36,352.0362,246
02/17/2021,358.04,2145058,353.11,358.17,351.91,247
02/18/2021,356.92,1915706,352.28,358.2,352.28,248
02/19/2021,354.77,1839533,356.69,357.93,354.575,249
02/22/2021,350.21,2215579,352.75,353.29,348.82,250
02/23/2021,342.15,3692638,349.8,351,342.03,251
02/24/2021,340.7,3305848,341.79,342.5,337.89,252
02/25/2021,333.9,3618077,340.85,343,333.35,253
02/26/2021,331,3362224,335.51,335.89,330.94,254
03/01/2021,331.77,4656825,335.21,335.9999,331.36,255
03/02/2021,328.46,4660068,333.69,334.69,328.42,256
03/03/2021,323.92,4064203,328.1698,328.4197,323.76,257
03/04/2021,319.04,5501245,323.37,325.6,315.04,258
03/05/2021,317.32,8102777,315.329,318.43,307,259
03/08/2021,311.42,4873459,318.91,322.3289,310.92,260
03/09/2021,318.78,5426779,313.76,320.28,312.71,261
03/10/2021,323.83,4523512,321.14,327.39,317.32,262
03/11/2021,328.65,4338898,330.4097,331.25,326.7211,263
03/12/2021,331.14,3182073,328.1,331.625,325.6,264
03/15/2021,330.51,3244291,333.6,333.68,327.32,265
03/16/2021,327.25,3066700,329.67,330.03,326.64,266
03/17/2021,329.19,2672370,326,330.5,324.12,267
03/18/2021,322.98,2738244,326.48,328.14,322.375,268
03/19/2021,328.91,4859256,323.61,329.25,322.39,269
03/22/2021,334.49,4064876,328.45,336.17,328.19,270
03/23/2021,340.34,3641218,333.89,342.51,333.795,271
03/24/2021,338.04,3006369,342.22,342.51,336.83,272
03/25/2021,346.34,4307145,337.81,347.78,337.27,273
03/26/2021,352.02,3061215,346.21,352.46,344.1,274
03/29/2021,356.15,3011985,351.45,357.77,351.01,275
03/30/2021,349.75,2602426,353.58,354.77,348.84,276
03/31/2021,352.48,2832221,350.66,357.4495,349.23,277
04/01/2021,354.94,2938607,352.54,357.32,351.6314,278
04/05/2021,360.82,2705656,357.5,362.67,356.8378,279
04/06/2021,360.12,2142011,359.8,362.8,359,280
04/07/2021,358.81,1808369,360.866,361.46,357.61,281
04/08/2021,361.22,2839157,362.8,366.02,359.6,282
04/09/2021,363.21,1610750,360.91,363.71,359.595,283
04/12/2021,364.81,1836606,362.84,365.25,361.34,284
04/13/2021,365.21,1796367,365.34,367.3,364.2701,285
04/14/2021,363.17,1509408,364.85,364.85,362.55,286
04/15/2021,368.8,1850332,364.88,369.55,364.27,287
04/16/2021,370.72,2249168,369.7,372.8,368.58,288
04/19/2021,369.55,1560002,371,371.53,368.2,289
04/20/2021,371.73,2330659,369,375.355,368.73,290
04/21/2021,374.09,1532098,371.61,374.58,371.47,291
04/22/2021,371.26,2138003,374.34,375.44,370.03,292
04/23/2021,373.28,1404929,371.26,374.85,370.41,293
04/26/2021,368.52,2059737,373.9,373.9,368.21,294
04/27/2021,370.21,1875871,368.17,370.96,365.29,295
04/28/2021,369.59,1305602,369.55,370.5,368.18,296
04/29/2021,373.54,1848301,368.54,374.71,368.53,297
04/30/2021,372.09,2118990,372.91,374.16,371.33,298
05/03/2021,379.32,2685849,373.84,379.62,372.89,299
05/04/2021,375.29,2133796,379.03,379.23,373.75,300
05/05/2021,372.5,1905324,376.35,377.5164,372.05,301
05/06/2021,382.76,2641378,373.19,382.94,373.19,302
05/07/2021,384.32,1817365,382.83,386.45,382.2001,303
05/10/2021,381.48,1998663,385.49,387.89,381.28,304
05/11/2021,378.18,1859681,379.31,380.92,376,305
05/12/2021,372.2,2344572,376,376.94,371.1141,306
05/13/2021,379.53,2023855,373.09,381.44,371.5654,307
05/14/2021,384.42,1876138,382.14,385.82,380.1,308
05/17/2021,383.96,1830155,385.04,387.05,382.9,309
05/18/2021,382.81,1698198,386.45,389.45,382.51,310
