Date,Close/Last,Volume,Open,High,Low,Day
07/06/2016,192.38,2197818,190.71,192.49,189.97,128
07/07/2016,192.25,1704943,192.56,193.26,191.4377,129
07/08/2016,195.17,2048546,193.63,195.36,193.41,130
07/11/2016,195.85,3590430,195.62,196.41,195.41,131
07/12/2016,197.23,2355828,196.84,197.54,196.59,132
07/13/2016,197.16,2767309,197.69,197.69,196.685,133
07/14/2016,198.31,3690912,198.58,198.8,197.89,134
07/15/2016,198.01,2346463,198.93,198.93,197.56,135
07/18/2016,198.58,1154924,198.15,198.74,197.9,136
07/19/2016,198.36,1003296,198.13,198.39,197.88,137
07/20/2016,199.16,1096590,198.92,199.44,198.41,138
07/21/2016,198.41,4509727,199.07,199.32,197.97,139
07/22/2016,199.33,1678985,198.62,199.38,198.3,140
07/25/2016,198.85,1172616,199.1,199.17,198.17,141
07/26/2016,198.84,1405321,198.7,199.25,197.9745,142
07/27/2016,198.71,2120153,199.29,199.34,197.85,143
07/28/2016,198.93,937204,198.49,199.21,197.975,144
07/29/2016,199.28,1758641,198.63,199.6,198.32,145
08/01/2016,199.05,2111471,199.33,199.71,198.58,146
08/02/2016,197.81,4085790,198.79,198.94,196.88,147
08/03/2016,198.38,2057504,197.74,198.42,197.3961,148
08/04/2016,198.57,1384740,198.5,198.9,198.05,149
08/05/2016,200.17,1818582,199.34,200.2216,199.19,150
08/08/2016,200.07,1440049,200.41,200.5099,199.79,151
08/09/2016,200.2,1821096,200.19,200.73,199.86,152
08/10/2016,199.69,1221289,200.34,200.395,199.33,153
08/11/2016,200.67,1645006,200.31,200.89,199.995,154
08/12/2016,200.47,1718942,200.32,200.7,200.04,155
08/15/2016,201.05,1051234,200.89,201.41,200.85,156
08/16/2016,200.01,1729275,200.61,200.66,200,157
08/17/2016,200.34,3157676,200.05,200.53,199.1401,158
08/18/2016,200.82,5211151,200.37,200.86,200.25,159
08/19/2016,200.54,1190807,200.34,200.72,199.81,160
08/22/2016,200.52,880385,200.3,200.75,199.88,161
08/23/2016,200.89,1214451,201.18,201.51,200.86,162
08/24/2016,199.92,1160458,200.78,200.87,199.46,163
08/25/2016,199.76,1262644,199.48,200.21,199.3316,164
08/26/2016,199.38,2890614,199.96,201.05,198.44,165
08/29/2016,200.39,1140577,199.53,200.6453,199.49,166
08/30/2016,200.01,1407317,200.28,200.57,199.4476,167
08/31/2016,199.52,2343858,199.7,199.82,198.65,168
09/01/2016,199.48,2196083,199.5,199.79,198.24,169
09/02/2016,200.37,1555772,200.41,200.83,199.78,170
09/06/2016,201,1589599,200.69,201.04,199.92,171
09/07/2016,200.99,1455442,200.82,201.15,200.32,172
09/08/2016,200.52,2180474,200.62,200.9199,200.19,173
09/09/2016,195.68,3430638,199.08,199.18,195.67,174
09/12/2016,198.48,2800160,194.88,198.95,194.8,175
09/13/2016,194.78,3361848,196.25,196.51,194.12,176
09/14/2016,194.66,2966319,194.83,196.1199,194.12,177
09/15/2016,196.66,1874417,194.51,197.07,194.37,178
09/16/2016,195.89,1774200,196.02,196.19,195.17,179
09/19/2016,195.95,2061150,196.63,197.2848,195.64,180
09/20/2016,195.97,1293885,196.86,197.03,195.93,181
09/21/2016,198.17,2238673,196.69,198.34,195.98,182
09/22/2016,199.36,2215193,199.26,199.71,198.98,183
09/23/2016,198.29,1413559,198.98,199.1098,198.22,184
09/26/2016,196.71,2451566,197.47,197.6,196.5,185
09/27/2016,197.91,1468015,196.53,198.01,196.16,186
09/28/2016,198.98,1419899,198.18,199.07,197.13,187
09/29/2016,197.11,2062403,198.71,199.11,196.54,188
09/30/2016,198.69,3147403,198.01,199.34,197.75,189
10/03/2016,198.06,2134531,198.18,198.35,197.45,190
10/04/2016,197.14,2846569,198.25,198.47,196.48,191
10/05/2016,197.96,1126748,197.77,198.44,197.72,192
10/06/2016,198.19,1113392,197.74,198.34,197.16,193
10/07/2016,197.46,1795140,198.42,198.6,196.651,194
10/10/2016,198.37,1297401,198.44,198.95,198.31,195
10/11/2016,195.96,2642814,198,198.07,195.19,196
10/12/2016,196.21,1458672,196.12,196.74,195.5876,197
10/13/2016,195.58,2406168,194.83,196.11,193.92,198
10/14/2016,195.63,1218830,196.65,197.12,195.61,199
10/17/2016,195.05,1323158,195.64,195.9273,194.81,200
10/18/2016,196.2,1263381,196.7,196.76,195.82,201
10/19/2016,196.74,1041360,196.49,197.08,196.1297,202
10/20/2016,196.42,1309796,196.37,196.97,195.7,203
10/21/2016,196.47,1376361,195.54,196.57,195.38,204
10/24/2016,197.27,816961,197.37,197.65,196.95,205
10/25/2016,196.71,1464904,197.13,197.39,196.48,206
10/26/2016,196.27,1202296,195.76,196.86,195.53,207
10/27/2016,195.75,1635359,197.04,197.07,195.65,208
10/28/2016,195.13,2632032,195.71,196.4,194.4,209
10/31/2016,195.13,1816103,195.49,195.74,194.9801,210
11/01/2016,193.77,2456360,195.52,195.54,192.45,211
11/02/2016,192.49,3395490,193.42,193.81,192.1,212
11/03/2016,191.74,1512147,192.79,193,191.39,213
11/04/2016,191.48,2221546,191.8,192.71,191.32,214
11/07/2016,195.68,2698839,194.17,195.74,194.01,215
11/08/2016,196.58,3048539,195.31,197.18,195.0233,216
11/09/2016,198.68,6118894,194.94,199.3399,194.92,217
11/10/2016,199.14,5121781,199.53,200.44,197.61,218
11/11/2016,198.77,1921463,198.42,198.96,197.7,219
11/14/2016,198.8,2651089,199.3,199.49,198.06,220
11/15/2016,200.41,2528093,199.29,200.42,199.0702,221
11/16/2016,200.07,1195176,199.78,200.29,199.65,222
11/17/2016,201.02,1176827,200.21,201.13,200.12,223
11/18/2016,200.66,1668283,201.16,201.32,200.44,224
11/21/2016,202.14,2641114,201.25,202.18,201.11,225
11/22/2016,202.51,2773330,202.51,202.73,201.7741,226
11/23/2016,202.69,1465575,202.14,202.71,201.7724,227
11/25/2016,203.5,1843091,203.08,203.5,202.96,228
11/28/2016,202.54,2192930,203.07,203.37,202.345,229
11/29/2016,202.86,1689608,202.51,203.35,202.17,230
11/30/2016,202.4,2359018,203.53,203.692,202.31,231
12/01/2016,201.61,3281407,202.68,202.71,201.24,232
12/02/2016,201.75,2119016,201.7,202.23,201.35,233
12/05/2016,202.91,2070675,202.64,203.3,202.415,234
12/06/2016,203.62,2412897,203.17,203.63,202.64,235
12/07/2016,206.2,2253230,203.45,206.32,203.3,236
12/08/2016,206.74,2972955,206.25,207.27,205.95,237
12/09/2016,208,1971879,207.02,208.03,206.98,238
12/12/2016,207.77,2419249,207.92,208.42,207.3359,239
12/13/2016,209.19,2670042,208.53,209.7,208.47,240
12/14/2016,207.46,4232911,208.84,209.59,206.98,241
12/15/2016,208.23,2809003,207.72,209.2299,207.58,242
12/16/2016,207.87,3073336,208.82,208.84,207.55,243
12/19/2016,208.34,2041659,208.1,208.8,207.9274,244
12/20/2016,209.14,3194996,208.92,209.3099,208.6768,245
12/21/2016,208.57,1545971,209.06,209.2,208.57,246
12/22/2016,207.01,1863715,207.16,207.24,206.5,247
12/23/2016,207.19,1279239,206.98,207.22,206.77,248
12/27/2016,207.7,1817907,207.48,208.15,207.48,249
12/28/2016,206.06,2227968,208,208.07,205.91,250
12/29/2016,206.02,1773050,206.1,206.47,205.51,251
