Timestamp,Yes_or_No,Age,Gender,Confidence_Level
4/12/2025 12:40:06,Yes,54,Female,10
4/12/2025 12:40:25,Yes,55,Male,9
4/12/2025 17:31:29,No,30,Male,6
4/12/2025 17:31:50,No,21,Female,10
4/12/2025 17:32:12,No,14,Female,7
4/12/2025 17:33:44,No,20,Female,8
4/12/2025 17:34:21,No,17,Male,9
4/12/2025 17:34:40,Yes,18,Female,7
4/12/2025 17:35:33,No,53,Other,9
4/12/2025 17:35:46,No,17,Female,3
4/12/2025 17:35:56,Yes,23,Male,10
4/12/2025 17:36:21,Yes,16,Male,4
4/12/2025 17:37:44,Yes,29,Female,8
4/12/2025 17:38:02,No,16,Female,9
4/12/2025 17:38:13,No,32,Female,7
4/12/2025 17:38:28,Yes,25,Male,1
4/12/2025 17:38:43,No,29,Male,8
4/12/2025 17:39:42,No,79,Male,9
4/12/2025 17:39:57,No,52,Other,3
4/12/2025 17:40:54,No,19,Other,7
4/12/2025 17:41:07,No,43,Other,8
4/12/2025 17:41:29,Yes,22,Female,5
4/12/2025 17:41:44,No,16,Other,6
4/12/2025 17:42:22,Yes,24,Male,6
4/12/2025 17:42:36,No,37,Female,10
4/12/2025 17:42:52,No,38,Other,2
4/12/2025 17:44:36,No,21,Male,4
4/12/2025 17:44:56,No,41,Male,10
4/12/2025 17:45:12,No,19,Female,5
4/12/2025 17:45:23,Yes,18,Other,5
4/12/2025 17:48:53,No,28,Other,7
4/12/2025 17:49:07,Yes,22,Female,3
4/12/2025 17:49:46,Yes,38,Male,9
4/12/2025 17:50:29,No,31,Male,6
4/12/2025 17:51:14,Yes,18,Male,7
4/12/2025 17:52:17,Yes,18,Male,10
4/12/2025 17:52:30,Yes,37,Male,6
4/12/2025 17:52:34,Yes,30,Male,6
4/12/2025 17:52:45,No,40,Male,5
4/12/2025 17:52:48,No,40,Male,2
4/12/2025 17:52:57,No,55,Male,10
4/12/2025 17:53:23,No,31,Male,7
4/12/2025 17:53:41,No,30,Female,8
4/12/2025 17:54:09,No,25,Female,9
4/12/2025 17:54:19,Yes,37,Male,4
4/12/2025 17:54:59,No,47,Male,8
4/12/2025 17:55:14,No,45,Male,7
4/12/2025 17:56:04,No,32,Male,7
4/12/2025 17:57:23,No,50,Male,10
4/12/2025 17:57:25,Yes,47,Male,7
4/12/2025 17:58:07,Yes,42,Male,5
4/12/2025 17:58:41,No,56,Male,6
4/12/2025 17:58:52,Yes,20,Female,10
